//mob_skill_db.txtへオーバーライド
//MOB_ID,ダミー文字列,STATE,SKILL_ID,SKILL_LV,万分率,casttime,delay,妨害可能,ターゲット,条件タイプ,条件値,値1,値2,値3,値4,値5,使用時エモーション
30013,ラウレルくん＠ソウルストライク,attack,13,3,2000,0,1000,yes,target,always,0,,,,,,
30013,ラウレルくん＠セイフティウォール,attack,12,10,2000,1000,5000,no,self,myhpltmaxrate,30,,,,,,26
30013,ラウレルくん＠サンダーストーム,attack,21,5,2000,1500,5000,no,target,attackpcge,2,,,,,,


//2-1
30014,セイレンの思い出＠ファイアーアタック,attack,186,3,500,0,5000,yes,target,always,0,,,,,,
30014,セイレンの思い出＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30014,セイレンの思い出＠エモーション,idle,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30014,セイレンの思い出＠エモーション,chase,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30014,セイレンの思い出＠エモーション,attack,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30014,セイレンの思い出＠ブランディッシュスピア,attack,57,10,3000,500,3000,no,target,always,5,,,,,,32
30014,セイレンの思い出＠バッシュ,attack,5,9,5000,800,1000,no,target,always,0,,,,,,32
30014,セイレンの思い出＠ツーハンドクイッケン,attack,60,10,5000,500,5000,no,self,myhpltmaxrate,70,,,,,,
30014,セイレンの思い出＠スピアブーメラン,chase,59,9,10000,600,3000,no,target,always,0,,,,,,6
30014,セイレンの思い出＠スピアスタブ,attack,58,5,3000,0,5000,yes,target,friendhpltmaxrate,50,,,,,,

30015,ガイルの思い出＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30015,ガイルの思い出＠エモーション,idle,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30015,ガイルの思い出＠エモーション,chase,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30015,ガイルの思い出＠エモーション,attack,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30015,ガイルの思い出＠クローキング,idle,135,1,2000,200,5000,yes,self,always,0,,,,,,
30015,ガイルの思い出＠クローキング,chase,135,1,2000,200,5000,yes,self,always,0,,,,,,
30015,ガイルの思い出＠クローキング,attack,135,1,2000,200,5000,yes,self,always,0,,,,,,
30015,ガイルの思い出＠ポイズンブロー,attack,176,5,10000,800,5000,no,target,always,0,,,,,,
30015,ガイルの思い出＠ソニックブロー,attack,136,10,10000,0,7000,no,target,always,0,,,,,,
30015,ガイルの思い出＠ベナムスプラッシャー,attack,141,10,10000,0,5000,yes,target,targetstatuson,poison,,,,,,
30015,ガイルの思い出＠グリムトゥース,chase,137,1,4000,0,3000,yes,target,always,0,,,,,,
30015,ガイルの思い出＠グリムトゥース,attack,137,5,10000,0,1000,no,target,skillused,52,,,,,,

30016,ハワードの思い出＠グラウンドアタック,attack,185,3,500,0,5000,yes,target,always,0,,,,,,
30016,ハワードの思い出＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30016,ハワードの思い出＠スタンアタック,attack,179,3,500,0,5000,yes,target,always,0,,,,,,
30016,ハワードの思い出＠エモーション,idle,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30016,ハワードの思い出＠エモーション,chase,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30016,ハワードの思い出＠エモーション,attack,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30016,ハワードの思い出＠メマーナイト,attack,42,10,5000,800,2000,no,target,always,0,,,,,,8
30016,ハワードの思い出＠オーバートラスト,attack,113,5,10000,800,10000,no,self,myhpltmaxrate,80,,,,,,8
30016,ハワードの思い出＠アドレナリンラッシュ,idle,111,5,10000,0,20000,yes,self,myhpltmaxrate,90,8,,,,,

30017,マガレの思い出＠速度減少,chase,30,1,2000,1000,20000,no,target,always,0,,,,,,29
30017,マガレの思い出＠速度減少,attack,30,1,500,1000,5000,no,target,always,0,,,,,,29
30017,マガレの思い出＠ホーリーアタック,attack,189,3,500,0,5000,yes,target,always,0,,,,,,
30017,マガレの思い出＠ニューマ,idle,25,1,5000,0,10000,yes,self,longrangeattacked,,,,,,,22
30017,マガレの思い出＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30017,マガレの思い出＠レックスディビーナ,attack,76,5,10000,700,5000,no,target,targetstatusoff,silence,,,,,,
30017,マガレの思い出＠レックスエーテルナ,chase,78,1,10000,500,5000,yes,target,targethpltmaxrate,50,,,,,,3
30017,マガレの思い出＠ホーリーライト,chase,156,1,10000,500,5000,yes,target,always,60,,,,,,3
30017,マガレの思い出＠ヒール,idle,28,10,10000,500,5000,yes,self,myhpltmaxrate,30,,,,,,3
30017,マガレの思い出＠ヒール,idle,28,10,10000,500,5000,yes,friend,friendhpltmaxrate,60,,,,,,3
30017,マガレの思い出＠ヒール,attack,28,10,10000,500,5000,yes,self,myhpltmaxrate,30,,,,,,3
30017,マガレの思い出＠ヒール,attack,28,10,10000,500,5000,yes,friend,friendhpltmaxrate,60,,,,,,3

30018,セシルの思い出＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30018,セシルの思い出＠ウィンドアタック,attack,187,3,500,0,5000,yes,target,always,0,,,,,,
30018,セシルの思い出＠ピアーシングアタック,attack,158,5,500,0,5000,yes,target,always,0,,,,,,
30018,セシルの思い出＠エモーション,chase,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30018,セシルの思い出＠エモーション,attack,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30018,セシルの思い出＠ブリッツビート,attack,129,5,10000,0,5000,yes,target,always,28,15,,,,,
30018,セシルの思い出＠ダブルストレイフィング,chase,46,10,2000,1000,5000,no,target,always,0,,,,,,
30018,セシルの思い出＠ダブルストレイフィング,attack,46,10,5000,1000,5000,no,target,always,0,,,,,,
30018,セシルの思い出＠ダブルストレイフィング,attack,46,10,10000,1000,1000,no,target,skillused,46,,,,,,
30018,セシルの思い出＠アローシャワー,attack,47,10,2000,1000,5000,no,target,attackpcge,2,,,,,,

30019,カトリの思い出＠ライトニングボルト,attack,20,7,10000,1000,20000,no,target,always,0,,,,,,
30019,カトリの思い出＠フロストダイバー,chase,15,9,10000,500,20000,yes,target,always,0,,,,,,2
30019,カトリの思い出＠ファイアーウォール,chase,18,5,500,500,5000,yes,target,always,0,,,,,,2
30019,カトリの思い出＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30019,カトリの思い出＠セイフティウォール,attack,12,10,2000,1000,5000,no,self,myhpltmaxrate,30,,,,,,26
30019,カトリの思い出＠ライトニングボルト,chase,20,10,10000,1000,20000,no,target,always,0,,,,,,
30019,カトリの思い出＠ヘヴンズドライブ,any,91,9,5000,0,1000,yes,target,always,0,,,,,,
30019,カトリの思い出＠ソウルストライク,attack,13,10,3000,0,1000,yes,target,always,0,,,,,,
30019,カトリの思い出＠ストームガスト,any,89,9,10000,1000,20000,no,target,always,0,,,,,,
30019,カトリの思い出＠サンダーストーム,any,21,10,10000,1500,1000,no,target,targetstatuson,freeze,,,,,,
30019,カトリの思い出＠サイトラッシャー,attack,81,5,8000,0,10000,yes,self,always,0,,,,,,


//2-2
30020,セニアの可能性＠マグナムブレイク,attack,7,9,5000,500,5000,no,self,attackpcge,2,,,,,,
30020,セニアの可能性＠バッシュ,attack,5,9,1000,800,5000,no,target,always,0,,,,,,32
30020,セニアの可能性＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30020,セニアの可能性＠エモーション,chase,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30020,セニアの可能性＠エモーション,attack,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30020,セニアの可能性＠エモーション,any,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30020,セニアの可能性＠リフレクトシールド,any,252,10,10000,0,10000,no,self,closedattacked,0,,,,,,
30020,セニアの可能性＠ホーリークロス,attack,253,10,10000,0,3000,yes,target,always,0,,,,,,
30020,セニアの可能性＠スピアクイッケン,any,258,10,10000,0,20000,no,self,myhpltmaxrate,60,,,,,,32
30020,セニアの可能性＠シールドブーメラン,any,251,5,10000,0,2000,no,target,always,0,,,,,,6

30021,ヒュッケの可能性＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30021,ヒュッケの可能性＠エモーション,idle,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30021,ヒュッケの可能性＠エモーション,chase,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30021,ヒュッケの可能性＠エモーション,attack,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30021,ヒュッケの可能性＠インベナム,any,52,9,500,1000,5000,no,target,always,0,,,,,,
30021,ヒュッケの可能性＠クローキング,chase,135,1,2000,200,5000,yes,self,always,0,,,,,,
30021,ヒュッケの可能性＠クローキング,idle,135,1,2000,200,5000,yes,self,always,0,,,,,,
30021,ヒュッケの可能性＠クローキング,attack,135,1,2000,200,5000,yes,self,always,0,,,,,,
30021,ヒュッケの可能性＠バックスタブ,any,212,5,4000,0,3000,yes,target,always,0,,,,,,
30021,ヒュッケの可能性＠ストリップウェポン,attack,215,5,2000,0,5000,yes,target,always,0,,,,,,
30021,ヒュッケの可能性＠ストリップシールド,attack,216,5,2000,0,5000,no,target,always,0,,,,,,
30021,ヒュッケの可能性＠サプライズアタック,attack,214,5,10000,0,5000,no,self,always,52,,,,,,

30022,アルマイアの可能性＠グラウンドアタック,attack,185,3,500,0,5000,yes,target,always,0,,,,,,
30022,アルマイアの可能性＠メマーナイト,attack,42,9,10000,800,1000,no,target,skillused,42,,,,,,8
30022,アルマイアの可能性＠メマーナイト,attack,42,9,1000,800,5000,no,target,always,0,,,,,,8
30022,アルマイアの可能性＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30022,アルマイアの可能性＠スタンアタック,attack,179,3,500,0,5000,yes,target,always,0,,,,,,
30022,アルマイアの可能性＠エモーション,idle,197,1,2000,0,5000,yes,self,always,0,8,,,,,
30022,アルマイアの可能性＠エモーション,chase,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30022,アルマイアの可能性＠デモンストレーション,attack,229,5,10000,0,5000,yes,target,skillused,28,15,,,,,
30022,アルマイアの可能性＠アシッドテラー,any,230,5,10000,0,5000,yes,target,always,28,15,,,,,

30023,イレンドの可能性＠サイレンスアタック,attack,178,4,1000,700,5000,no,target,always,0,,,,,,
30023,イレンドの可能性＠速度減少,chase,30,1,2000,1000,20000,no,target,always,0,,,,,,29
30023,イレンドの可能性＠速度減少,attack,30,1,500,1000,5000,no,target,always,0,,,,,,29
30023,イレンドの可能性＠ホーリーアタック,attack,189,3,500,0,5000,yes,target,always,0,,,,,,
30023,イレンドの可能性＠ニューマ,idle,25,1,5000,0,10000,yes,self,longrangeattacked,,,,,,,22
30023,イレンドの可能性＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30023,イレンドの可能性＠阿修羅覇凰拳,any,271,5,1000,2000,5000,yes,target,always,60,,,,,,3
30023,イレンドの可能性＠連打掌,any,272,5,5000,0,5000,yes,target,always,60,,,,,,3
30023,イレンドの可能性＠発勁,any,266,5,5000,500,5000,yes,target,always,30,,,,,,3
30023,イレンドの可能性＠猛龍拳,any,273,5,5000,0,5000,yes,target,always,30,,,,,,3
30023,イレンドの可能性＠残影,chase,264,1,10000,0,5000,yes,target,always,30,,,,,,3
30023,イレンドの可能性＠指弾,chase,267,5,10000,500,3000,yes,target,always,60,,,,,,3

30024,イカルスの可能性＠ウィンドアタック,attack,187,3,500,0,5000,yes,target,always,0,,,,,,
30024,イカルスの可能性＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30024,イカルスの可能性＠エモーション,idle,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30024,イカルスの可能性＠エモーション,chase,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30024,イカルスの可能性＠エモーション,attack,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30024,イカルスの可能性＠アローシャワー,attack,47,5,2000,1000,5000,no,target,attackpcge,2,,,,,,
30024,イカルスの可能性＠寒いジョーク,attack,318,5,8000,0,5000,yes,self,always,0,,,,,,
30024,イカルスの可能性＠ミュージカルストライク,chase,316,1,2000,1000,5000,no,target,always,0,,,,,,
30024,イカルスの可能性＠ミュージカルストライク,attack,316,5,5000,1000,1000,no,target,always,46,,,,,,
30024,イカルスの可能性＠ミュージカルストライク,attack,316,5,10000,1000,5000,no,target,always,0,,,,,,

30025,イカルスの思い出＠ウィンドアタック,attack,187,3,500,0,5000,yes,target,always,0,,,,,,
30025,イカルスの思い出＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30025,イカルスの思い出＠エモーション,idle,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30025,イカルスの思い出＠エモーション,chase,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30025,イカルスの思い出＠エモーション,attack,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30025,イカルスの思い出＠アローシャワー,attack,47,10,2000,1000,5000,no,target,attackpcge,2,,,,,,
30025,イカルスの思い出＠矢撃ち,chase,324,5,2000,0,5000,no,target,always,0,,,,,,
30025,イカルスの思い出＠矢撃ち,attack,324,5,10000,0,1000,no,target,skillused,46,,,,,,
30025,イカルスの思い出＠矢撃ち,attack,324,5,1000,0,5000,no,target,always,0,,,,,,
30025,イカルスの思い出＠スクリーム,attack,326,5,10000,0,5000,yes,self,always,0,,,,,,

30026,ラウレルの可能性＠ライトニングボルト,idle,20,9,1000,1000,5000,no,anothertarget,always,0,,,,,,
30026,ラウレルの可能性＠ライトニングボルト,chase,20,7,10000,1000,20000,no,target,always,0,,,,,,
30026,ラウレルの可能性＠フロストダイバー,chase,15,9,10000,500,20000,yes,target,always,0,,,,,,2
30026,ラウレルの可能性＠ファイアーウォール,chase,18,5,500,500,5000,yes,target,always,0,,,,,,2
30026,ラウレルの可能性＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30026,ラウレルの可能性＠ソウルストライク,idle,13,9,5000,0,1000,yes,anothertarget,always,0,,,,,,
30026,ラウレルの可能性＠ソウルストライク,attack,13,5,3000,0,1000,yes,target,always,0,,,,,,
30026,ラウレルの可能性＠ソウルストライク,attack,13,3,2000,0,1000,yes,target,always,0,,,,,,
30026,ラウレルの可能性＠セイフティウォール,attack,12,10,2000,1000,5000,no,self,myhpltmaxrate,30,,,,,,26
30026,ラウレルの可能性＠ライトニングボルト,attack,20,10,10000,500,5000,no,target,always,0,,,,,,
30026,ラウレルの可能性＠ファイアーボルト,attack,19,10,8000,500,5000,no,target,always,2,,,,,,
30026,ラウレルの可能性＠コールドボルト,attack,14,10,9000,500,5000,yes,target,always,0,,,,,,


//2-1転生
30027,セイレン＠バッシュ,attack,5,10,1000,0,5000,yes,target,always,0,,,,,,
30027,セイレン＠ファイアーアタック,attack,186,5,1000,0,5000,yes,target,always,0,,,,,,9
30027,セイレン＠ラッシュアタック,attack,349,5,2000,0,100000,yes,self,always,0,,,,,,
30027,セイレン＠マグナムブレイク,attack,7,9,1000,0,0,yes,self,attackpcge,2,,,,,,
30027,セイレン＠プロボック,chase,6,10,1000,0,5000,yes,target,always,0,,,,,,29
30027,セイレン＠プロボック,attack,6,10,1000,0,300000,yes,target,always,0,,,,,,29
30027,セイレン＠テレポート,walk,26,1,5000,0,5000,yes,self,rudeattacked,,,,,,,
30027,セイレン＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30027,セイレン＠スピアブーメラン,idle,59,5,10000,0,0,yes,anothertarget,always,0,,,,,,6
30027,セイレン＠スピアブーメラン,chase,59,5,10000,0,0,yes,target,skillused,18,,,,,,6
30027,セイレン＠スパイラルピアース,chase,397,5,2000,0,5000,yes,target,always,0,,,,,,
30027,セイレン＠スパイラルピアース,attack,397,5,2000,0,5000,yes,target,always,0,,,,,,
30027,セイレン＠スタンアタック,attack,179,5,1000,0,5000,yes,target,always,0,,,,,,
30027,セイレン＠クリティカルスラッシュ,attack,170,1,2000,0,5000,yes,target,always,0,,,,,,

30028,エレメス＠テレポート,walk,26,1,5000,0,5000,yes,self,rudeattacked,,,,,,,
30028,エレメス＠アジリティアップ,attack,350,5,2000,0,100000,yes,self,always,0,,,,,,
30028,エレメス＠ポイズンアタック,attack,188,5,1000,0,5000,yes,target,always,0,,,,,,
30028,エレメス＠クリティカルスラッシュ,attack,170,1,1000,0,5000,yes,target,always,0,,,,,,
30028,エレメス＠メテオアサルト,attack,406,10,2000,0,10000,yes,self,always,0,,,,,,
30028,エレメス＠ベナムダスト,idle,140,1,2000,0,10000,yes,anothertarget,always,0,,,,,,29
30028,エレメス＠ベナムダスト,attack,140,1,2000,0,10000,yes,around5,always,0,,,,,,29
30028,エレメス＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30028,エレメス＠ソニックブロー,attack,136,5,2000,0,5000,yes,target,always,0,,,,,,6
30028,エレメス＠ソウルブレイカー,chase,379,10,2000,0,5000,yes,target,always,0,,,,,,
30028,エレメス＠スタンアタック,attack,179,5,1000,0,5000,yes,target,always,0,,,,,,
30028,エレメス＠グリムトゥース,idle,137,5,10000,0,0,yes,anothertarget,always,0,,,,,,6
30028,エレメス＠グリムトゥース,chase,137,5,2000,0,0,yes,target,always,0,,,,,,
30028,エレメス＠グリムトゥース,chase,137,5,10000,0,0,yes,target,skillused,18,,,,,,6
30028,エレメス＠クローキング,idle,135,1,2000,200,5000,yes,self,always,0,,,,,,
30028,エレメス＠クローキング,chase,135,1,2000,200,5000,yes,self,always,0,,,,,,
30028,エレメス＠クローキング,attack,135,1,2000,200,5000,yes,self,always,0,,,,,,
30028,エレメス＠インベナム,attack,52,10,1000,0,10000,yes,target,always,0,,,,,,

30029,ハワード＠スプラッシュアタック,attack,174,1,1000,0,0,yes,target,attackpcge,2,,,,,,
30029,ハワード＠ファイアーアタック,attack,186,10,1000,0,5000,yes,target,always,0,,,,,,
30029,ハワード＠ウォーターアタック,attack,184,10,1000,0,5000,yes,target,always,0,,,,,,
30029,ハワード＠ラッシュアタック,attack,349,5,2000,0,100000,yes,self,always,0,,,,,,
30029,ハワード＠メマーナイト,attack,42,9,2000,0,5000,yes,target,always,0,,,,,,23
30029,ハワード＠マキシマイズパワー,attack,114,1,1000,0,60000,yes,self,always,0,,,,,,
30029,ハワード＠ブレイクアーマー,attack,344,10,1000,0,5000,yes,target,always,0,,,,,,19
30029,ハワード＠ハンマーフォール,chase,110,5,2000,0,5000,yes,target,always,0,,,,,,
30029,ハワード＠ハンマーフォール,attack,110,5,2000,0,5000,yes,target,always,0,,,,,,
30029,ハワード＠テレポート,walk,26,1,5000,0,5000,yes,self,rudeattacked,,,,,,,
30029,ハワード＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30029,ハワード＠クリティカルスラッシュ,attack,170,1,1000,0,5000,yes,target,always,0,,,,,,
30029,ハワード＠アドレナリンラッシュ,attack,111,10,2000,0,150000,yes,self,always,0,,,,,,

