//mob_db.txtへオーバーライド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//ID,Name,JName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per
30020,ori0020,セニアの可能性,120,120000,0,30000,30000,1,1200,1200,124,8,144,92,86,69,150,40,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30021,ori0021,ヒュッケの可能性,120,100000,0,30000,30000,1,1200,1200,114,66,114,91,69,42,130,40,10,12,1,7,65,133,120,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30022,ori0022,アルマイアの可能性,120,90000,0,30000,30000,1,1200,1200,119,4,123,59,85,65,150,40,10,12,1,7,62,133,120,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30023,ori0023,イレンドの可能性,120,70000,0,30000,30000,1,800,800,106,99,77,66,90,105,87,40,10,12,1,7,46,133,130,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30024,ori0024,イカルスの可能性,120,80000,0,30000,30000,9,1000,1000,86,48,103,109,62,50,200,40,10,12,1,7,44,133,150,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30025,ori0025,イカルスの思い出,120,80000,0,30000,30000,9,1000,1000,86,48,103,109,62,50,200,40,10,12,1,7,44,133,150,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30026,ori0026,ラウレルの可能性,120,60000,0,30000,30000,1,600,600,76,88,67,79,65,170,112,40,10,12,1,7,48,133,150,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//転生2-1次,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30027,ori0027,セイレン,140,450000,0,300000,300000,1,3000,2000,266,100,142,69,100,49,432,66,10,12,1,6,63,133,100,56,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30028,ori0028,エレメス,140,370000,0,300000,300000,1,3000,2000,122,100,145,87,100,67,427,66,10,12,1,6,85,133,100,56,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30029,ori0029,ハワード,140,390000,0,300000,300000,1,3000,2000,131,100,138,79,100,53,482,66,10,12,1,6,81,133,100,56,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30030,ori0030,マガレ,140,370000,0,300000,300000,1,3000,2000,138,100,126,74,100,123,499,66,10,12,1,6,66,133,100,152,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30031,ori0031,セシル,140,370000,0,300000,300000,14,3000,2000,115,100,121,126,100,80,465,66,10,12,1,6,64,133,100,56,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30032,ori0032,カトリ,140,250000,0,300000,300000,1,3000,2000,100,100,108,78,100,220,439,66,10,12,1,7,68,133,100,152,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//転生2-2次,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30033,ori0033,ランデル,140,450000,0,300000,300000,1,3000,2000,266,100,142,69,100,49,432,66,10,12,1,6,66,133,100,56,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30034,ori0034,ガーディ,140,370000,0,300000,300000,1,3000,2000,122,100,145,87,100,67,427,66,10,12,1,7,87,133,100,56,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30035,ori0035,エミュール,140,390000,0,300000,300000,1,3000,2000,131,100,38,79,100,1,482,66,10,12,1,6,83,133,100,56,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30036,ori0036,チェン,140,370000,0,300000,300000,1,3000,2000,138,100,126,74,100,123,499,66,10,12,1,6,61,133,100,152,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30037,ori0037,バジル,140,370000,0,300000,300000,14,3000,2000,115,100,121,126,100,80,465,66,10,12,1,6,64,133,100,56,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30038,ori0038,トレンティーニ,140,370000,0,300000,300000,14,3000,2000,115,100,121,126,100,80,465,66,10,12,1,7,64,133,100,56,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30039,ori0039,セリア,140,250000,0,300000,300000,1,3000,2000,100,100,108,78,100,220,439,66,10,12,1,7,68,133,100,152,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30040,ori0040,ルーンナイト,160,7000000,0,2000000,2000000,1,4500,2500,189,128,150,150,80,100,400,77,10,12,2,7,43,165,100,518,385,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30041,ori0041,ギロチンクロス,160,5500000,0,2000000,2000000,1,6000,3000,436,218,200,150,48,190,400,77,10,12,2,7,45,165,100,368,238,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30042,ori0042,メカニック,160,5500000,0,2000000,2000000,1,4063,3000,436,218,200,150,50,190,400,77,10,12,2,7,43,165,100,200,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30043,ori0043,アークビショップ,160,5000000,0,2000000,2000000,1,12000,3000,436,218,200,150,40,190,400,77,10,12,2,7,46,165,100,200,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30044,ori0044,レンジャー,160,5000000,0,2000000,2000000,10,6000,3000,436,218,200,150,20,190,400,77,10,12,2,7,40,165,100,200,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30045,ori0045,ウォーロック,160,4500000,0,2000000,2000000,1,6000,3000,436,218,200,150,15,190,400,77,10,12,2,7,40,165,100,200,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//3-2
30046,ori0046,ロイヤルガード,160,7000000,0,2000000,2000000,3,6000,3000,436,218,200,150,70,190,400,77,10,12,2,7,46,165,100,200,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30047,ori0047,シャドウチェイサー,160,5500000,0,2000000,2000000,1,6000,3000,436,218,200,150,60,190,400,77,10,12,2,7,47,165,100,200,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30048,ori0048,ジェネティック,160,5500000,0,2000000,2000000,1,6000,3000,436,218,200,150,30,190,400,77,10,12,2,7,42,165,100,200,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30049,ori0049,修羅,160,5000000,0,2000000,2000000,1,6000,3000,436,218,200,150,45,190,400,77,10,12,2,7,48,165,100,200,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30050,ori0050,ミンストレル,160,5000000,0,2000000,2000000,3,6000,3000,436,218,200,150,32,190,400,77,10,12,2,7,44,165,100,200,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30051,ori0051,ワンダラー,160,5000000,0,2000000,2000000,3,6000,3000,436,218,200,150,25,190,400,77,10,12,2,7,44,165,100,200,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30052,ori0052,ソーサラー,160,4500000,0,2000000,2000000,1,6000,3000,436,218,200,150,40,190,400,77,10,12,2,7,48,165,100,200,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//拡張-1
30053,ori0053,スーパーノービス♂,140,450000,0,300000,300000,1,3000,2000,124,8,144,92,86,69,150,66,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30054,ori0054,スーパーノービス♀,140,390000,0,300000,300000,1,3000,2000,124,8,144,92,86,69,150,66,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30055,ori0055,ガンスリンガー♂,140,370000,0,300000,300000,10,3000,2000,124,8,144,92,86,69,150,66,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30056,ori0056,ガンスリンガー♀,140,370000,0,300000,300000,10,3000,2000,124,8,144,92,86,69,150,66,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30057,ori0057,忍者♂,140,370000,0,300000,300000,1,3000,2000,124,8,144,92,86,69,150,66,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30058,ori0058,忍者♀,140,370000,0,300000,300000,1,3000,2000,124,8,144,92,86,69,150,66,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30059,ori0059,拳聖,140,370000,0,300000,300000,1,3000,2000,124,8,144,92,86,69,150,66,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30060,ori0060,ソウルリンカー,140,250000,0,300000,300000,1,3000,2000,124,8,144,92,86,69,150,66,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//拡張-2
30061,ori0061,スーパーノービス♂,160,7000000,0,2000000,2000000,1,6000,3000,124,8,144,92,86,69,150,77,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30062,ori0062,スーパーノービス♀,160,5500000,0,2000000,2000000,1,6000,3000,124,8,144,92,86,69,150,77,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30063,ori0063,リベリオン♂,160,5000000,0,2000000,2000000,10,6000,3000,124,8,144,92,86,69,150,77,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30064,ori0064,リベリオン♀,160,5000000,0,2000000,2000000,10,6000,3000,124,8,144,92,86,69,150,77,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30065,ori0065,影狼,160,5000000,0,2000000,2000000,1,6000,3000,124,8,144,92,86,69,150,77,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30066,ori0066,朧,160,5000000,0,2000000,2000000,1,6000,3000,124,8,144,92,86,69,150,77,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30067,ori0067,星帝,160,5000000,0,2000000,2000000,1,6000,3000,124,8,144,92,86,69,150,77,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30068,ori0068,ソウルリーパー,160,4500000,0,2000000,2000000,1,6000,3000,124,8,144,92,86,69,150,77,10,12,1,7,43,141,145,576,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//覚醒MVPBOSS	初　中　上　超
//初
31000,GOLDEN_BUG,覚醒黄金蟲,200,13456000,0,200000000,200000000,1,12658,4203,230,110,198,160,150,99,465,33,10,12,2,4,43,400437,100,768,768,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31001,MOONLIGHT,覚醒月夜花,200,10200000,0,200000000,200000000,1,7652,7298,189,165,146,189,185,169,465,33,10,12,1,6,63,400437,150,1276,576,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31002,EDDGA,覚醒エドガ,200,14523025,0,200000000,200000000,1,16235,9865,265,130,158,103,160,138,465,33,10,12,2,2,23,400437,300,872,1344,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31003,GARM,覚醒ハティー,200,11235069,0,200000000,200000000,3,13598,8965,173,103,122,126,135,148,465,33,10,12,2,2,81,400437,400,608,408,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31004,PHREEONI,覚醒フリオニ,200,13526351,0,200000000,200000000,1,15326,9865,269,156,154,98,178,87,465,33,10,12,2,2,60,400437,200,1020,1020,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31005,DRACULA,覚醒ドラキュラ,200,11569852,0,200000000,200000000,3,10256,9684,152,185,106,136,105,168,465,33,10,12,2,6,87,400437,145,1290,1140,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31006,DOPPELGANGER,覚醒ドッペルゲンガー,200,14523659,0,200000000,200000000,1,17892,2569,246,179,205,189,110,70,465,33,10,12,1,6,67,400437,100,480,480,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31007,DRAKE,覚醒ドレイク,200,10235945,0,200000000,200000000,1,8023,7859,279,135,135,128,136,168,465,33,10,12,1,1,29,400437,400,620,420,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31008,BAPHOMET,覚醒バフォメット,200,12666666,0,200000000,200000000,2,15666,9666,279,136,178,164,99,99,465,33,10,12,2,6,67,400437,100,768,768,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31009,KNIGHT_OF_WINDSTORM,覚醒ストームナイト,200,13526958,0,200000000,200000000,2,14869,6859,306,166,138,165,132,104,465,33,10,12,2,0,84,400437,200,468,468,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31010,LADY_TANEE,覚醒レディータニー,200,9286542,0,200000000,200000000,14,12368,7895,141,104,126,148,173,156,465,33,10,12,2,3,64,400164,100,576,432,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31011,OSIRIS,覚醒オシリス,200,10269587,0,200000000,200000000,1,9868,7635,172,164,137,168,99,131,465,33,10,12,1,1,89,400437,100,1072,672,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31012,AMON_RA,覚醒アモンラー,200,11253574,0,200000000,200000000,3,7863,9724,213,123,95,78,148,169,465,33,14,12,2,7,62,400164,170,854,2016,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//中
31050,TURTLE_GENERAL,覚醒タートルジェネラル,220,21369585,0,300000000,300000000,2,3438,2066,1894,123,116,123,154,99,500,66,10,12,2,2,42,437,200,900,1000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31051,ORK_HERO,覚醒オークヒーロー,220,19853745,0,300000000,300000000,1,2690,441,197,70,97,82,107,71,500,66,10,12,2,7,42,437,150,1678,780,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31052,ORC_LORD,覚醒オークロード,220,20364128,0,300000000,300000000,1,2943,648,256,92,95,95,103,96,500,66,10,12,2,7,82,437,100,1248,500,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31053,ATROCE,覚醒アトロス,220,23659126,0,300000000,300000000,2,3470,1503,316,176,121,165,135,99,500,66,10,12,2,2,67,437,150,576,600,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31054,TAO_GUNKA,覚醒タオグンカ,220,18946324,0,300000000,300000000,2,3297,1260,404,143,135,175,98,110,500,66,10,12,2,6,60,437,150,1020,288,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31055,MISTRESS,覚醒ミストレス,220,17652392,0,300000000,300000000,1,2500,2367,187,192,76,186,88,113,500,66,10,12,0,4,84,437,100,1148,648,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31056,PHARAOH,覚醒ファラオ,220,19532843,0,300000000,300000000,1,3391,1782,124,269,98,102,96,142,500,66,10,12,2,7,67,437,125,868,768,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31057,BACSOJIN_,覚醒ペクソジン,220,17623547,0,300000000,300000000,3,2622,2036,210,178,118,244,98,126,500,66,10,12,2,7,64,165,130,576,960,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31058,DARK_LORD,覚醒ダークロード,220,18432966,0,300000000,300000000,2,2825,2085,330,168,118,136,154,142,500,66,10,12,2,6,89,437,100,868,768,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
