// ホムンクルス経験値テーブル
//初期8種,進化8種,変異5種,予約2,予約3,予約4
62822,62822,62822,62822,0,0
68487,68487,68487,68487,0,0
74677,74677,74677,74677,0,0
88664,88664,88664,88664,0,0
97191,97191,97191,97191,0,0
106883,106883,106883,106883,0,0
117740,117740,117740,117740,0,0
129762,129762,129762,129762,0,0
157736,157736,157736,157736,0,0
174520,174520,174520,174520,0,0
194101,194101,194101,194101,0,0
0,0,326156,326156,0,0
0,0,388126,388126,0,0
0,0,423057,423057,0,0
0,0,461133,461133,0,0
0,0,502634,502634,0,0
0,0,547872,547872,0,0
0,0,646488,646488,0,0
0,0,698208,698208,0,0
0,0,754064,754064,0,0
0,0,814389,814389,0,0
0,0,879540,879540,0,0
0,0,1029062,1029062,0,0
0,0,1101097,1101097,0,0
0,0,1178173,1178173,0,0
0,0,1260645,1260645,0,0
0,0,1348891,1348891,0,0
0,0,1564713,1564713,0,0
0,0,1658596,1658596,0,0
0,0,1758112,1758112,0,0
0,0,1863598,1863598,0,0
0,0,1975414,1975414,0,0
0,0,2271726,2271726,0,0
0,0,2385313,2385313,0,0
0,0,2504578,2504578,0,0
0,0,2629807,2629807,0,0
0,0,2761297,2761297,0,0
0,0,3147879,3147879,0,0
0,0,3305273,3305273,0,0
0,0,3470537,3470537,0,0
0,0,3644063,3644063,0,0
0,0,3826267,3826267,0,0
0,0,4323681,4323681,0,0
0,0,4539865,4539865,0,0
0,0,4766858,4766858,0,0
0,0,5005201,5005201,0,0
0,0,5255461,5255461,0,0
0,0,5886117,5886117,0,0
0,0,6180422,6180422,0,0
0,0,6489444,6489444,0,0
0,0,6813916,6813916,0,0
0,0,7154611,7154611,0,0
0,0,7941619,7941619,0,0
0,0,8338700,8338700,0,0
0,0,8755635,8755635,0,0
0,0,9193416,9193416,0,0
0,0,9653087,9653087,0,0
0,0,10618396,10618396,0,0
0,0,11149315,11149315,0,0
0,0,11706781,11706781,0,0
0,0,12292120,12292120,0,0
0,0,12906726,12906726,0,0
0,0,14068332,14068332,0,0
0,0,14631065,14631065,0,0
0,0,15216307,15216307,0,0
0,0,15824960,15824960,0,0
0,0,16457958,16457958,0,0
0,0,17939174,17939174,0,0
0,0,18656741,18656741,0,0
0,0,19403011,19403011,0,0
0,0,20179131,20179131,0,0
0,0,20986296,20986296,0,0
0,0,22875063,22875063,0,0
0,0,23790065,23790065,0,0
0,0,24741668,24741668,0,0
0,0,25731334,25731334,0,0
0,0,26760588,26760588,0,0
0,0,32112705,32112705,0,0
0,0,38535246,38535246,0,0
0,0,46242296,46242296,0,0
0,0,55490755,55490755,0,0
0,0,66588906,66588906,0,0
0,0,133177812,133177812,0,0
0,0,159813375,159813375,0,0
0,0,191776050,191776050,0,0
0,0,230131260,230131260,0,0
0,0,345196890,345196890,0,0
0,0,414236268,414236268,0,0
0,0,497083522,497083522,0,0
0,0,596500226,596500226,0,0
0,0,715800272,715800272,0,0
0,0,1073700408,1073700408,0,0
0,0,2147400816,2147400816,0,0
0,0,2362140898,2362140898,0,0
0,0,2598354988,2598354988,0,0
0,0,2858190486,2858190486,0,0
0,0,3144009535,3144009535,0,0
0,0,3458410489,3458410489,0,0
0,0,3804251538,3804251538,0,0
0,0,4184676691,4184676691,0,0
0,0,4603144360,4603144360,0,0
0,0,5063458796,5063458796,0,0
0,0,5569804676,5569804676,0,0
0,0,6126785144,6126785144,0,0
0,0,6739463658,6739463658,0,0
0,0,7413410024,7413410024,0,0
0,0,8154751026,8154751026,0,0
0,0,8970226129,8970226129,0,0
0,0,9867248742,9867248742,0,0
0,0,10853973616,10853973616,0,0
0,0,11939370977,11939370977,0,0
0,0,13133308075,13133308075,0,0
0,0,14446638882,14446638882,0,0
0,0,15891302771,15891302771,0,0
0,0,17480433048,17480433048,0,0
0,0,19228476352,19228476352,0,0
0,0,21151323988,21151323988,0,0
0,0,23266456386,23266456386,0,0
0,0,25593102025,25593102025,0,0
0,0,28152412227,28152412227,0,0
0,0,30967653450,30967653450,0,0
0,0,34064418795,34064418795,0,0
0,0,37470860675,37470860675,0,0
0,0,41217946742,41217946742,0,0
0,0,45339741416,45339741416,0,0
0,0,49873715558,49873715558,0,0
0,0,54861087114,54861087114,0,0
0,0,60347195825,60347195825,0,0
0,0,66381915408,66381915408,0,0
0,0,73020106949,73020106949,0,0
0,0,80322117643,80322117643,0,0
0,0,88354329408,88354329408,0,0
0,0,89237872702,89237872702,0,0
0,0,90130251429,90130251429,0,0
0,0,91031553943,91031553943,0,0
0,0,91941869482,91941869482,0,0
0,0,92861288177,92861288177,0,0
0,0,93789901059,93789901059,0,0
0,0,94727800069,94727800069,0,0
0,0,95675078070,95675078070,0,0
0,0,96631828851,96631828851,0,0
0,0,97598147139,97598147139,0,0
0,0,100526091553,100526091553,0,0
0,0,103541874300,103541874300,0,0
0,0,106648130529,106648130529,0,0
0,0,109847574445,109847574445,0,0
0,0,113143001678,113143001678,0,0
0,0,116537291728,116537291728,0,0
0,0,120033410480,120033410480,0,0
0,0,123634412794,123634412794,0,0
0,0,127343445178,127343445178,0,0
0,0,131163748533,131163748533,0,0
0,0,135098660989,135098660989,0,0
0,0,139151620819,139151620819,0,0
0,0,143326169444,143326169444,0,0
0,0,147625954527,147625954527,0,0
0,0,152054733163,152054733163,0,0
0,0,156616375158,156616375158,0,0
0,0,161314866412,161314866412,0,0
0,0,166154312405,166154312405,0,0
0,0,171138941777,171138941777,0,0
0,0,176273110030,176273110030,0,0
0,0,183324034431,183324034431,0,0
0,0,190656995808,190656995808,0,0
0,0,198283275641,198283275641,0,0
0,0,206214606666,206214606666,0,0
0,0,214463190933,214463190933,0,0
0,0,223041718570,223041718570,0,0
0,0,231963387313,231963387313,0,0
0,0,241241922805,241241922805,0,0
0,0,250891599717,250891599717,0,0
0,0,260927263706,260927263706,0,0
0,0,0,0,0,0
